User Comment,Country Focus,Craftsmanship,Price Perception,Sustainability,AI Sentiment
What about Edox? Is it good or trash?,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"Hi Teddy, what’s your opinion about Edox watches?",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Tissot is well known here  , i dunno where you guys are living .",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"Teddy, I know this is an older video, how about Yema from France ?",France,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Titoni is another underrated Swiss brand .Master series and Seascoper are outstanding.Both are COSC certified movements at less than 1200 dollars.,Swiss,Mentioned,Good Value,Not Mentioned,Positive
"Tudor overpriced with the eta movement imho, the Baum is the better buy",China,Not Mentioned,Overpriced,Not Mentioned,Negative
Schwarz Etienne?,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Revie thommen anything on that im thinking abt buying one as my fiest watch,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Very cool watchs thanks,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
I have a shitload of Belair Swiss watches,Swiss,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Atlantic?,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Nice video of some lesser known brands. I know you’re not a fan of the gray market, but anyone who pays MSRP for a Baume & Mercier Has been taken. I love my B&M Capeland chronograph which I bought brand new a few years ago for 1/3 of MSRP. You can get almost as big a discount on Tissot and I imagine on a number of others listed here.",France,Not Mentioned,Overpriced,Not Mentioned,Negative
"I may be inviting hate, but that first watch stood out because I recently got a Swatch. I became interested in the sistem 51 and after having the watch for a little while I think it’s going to be as important to watches as quartz. Low priced but decent automatic in other words. I reverse sorted and got the most expensive one at a whopping $255 with free two day shipping. I think the crystal front and back are both plastic but not sure. So far it’s keeping perfect time and claims a 90 hour reserve. Will see how it lasts. But I think we’ll see more watches with this movement.",Switzerland,Not Mentioned,Fair,Not Mentioned,Positive
"Can you do a video on Gevril? Maybe even a review on one? I see them on a lot of outlet sites, with huge msrps and then with gigantic discounts. They almost seem like like the Invicta of swiss watches. Maybe Im wrong but it would be great to see your take on it.",Swiss,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
The Mondaine watch is simply a replica of the clocks you see in Switzerland at every train station.,Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"I’m a little confused how an American company, like Ball, can be considered “Swiss Made”.",Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Titoni and Epos have lovely watches,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
FUCK BOB'S WATCHES,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"Anyone know about these ISW watches they sell online around $30-50, ludicrously ""marked down"" from alleged list prices around $600. Nothing but rave reviews on the big sites, but I can't find any expert witnesses who know about them.
They claim to be Swiss made movements, but the company folded, and I'm betting they're Chinese-assembled at the least.",China,Not Mentioned,Overpriced,Not Mentioned,Negative
Swiss watches the best wold longines Victorino swiss armi omega tissot tag heuer Rolex tudor patex philippe y vacheron constantin the best watches,Swiss,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Tudor Style 41mm with fluted bezel and blue dial is on my list already, glad to hear you think it's worth getting too!",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Where is balmain.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"I have the Mondaine watch, but a different model number. I put a warranty on it also. It fits so perfect. It keeps excellent time. I love it. I recommend.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Is Epos a good Swiss brand to purchase?,Swiss,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Ball is the most important company to the watch business. No matter what type of watch you like Ball got the whole Ball of Wax started.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Why does Tissot even add a date complication . . .You can hardly even see the date . . .,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"Take a drink everytime Teddy smuggly says he's ""not a quartz guy"". I remember when I got my first few mechanical watches.....",Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Positive
"Good video. Great information. I have a ML Aikon and it's a beautiful piece for the money. Also I would recommend the Tudor double date, I stumbled on the model and own the white dial with blue indices...it was about $2K. A great work watch. 
I also have a FC Highlife blue dial.... it's a great watch, zelita movement, chronometer and only cost me $1,200.00.",China,Not Mentioned,Fair,Not Mentioned,Positive
Can you please recommend any swiss movement automatic skeleton dial under 500$,Swiss,Mentioned,Not Mentioned,Not Mentioned,Neutral
"No  claude Bernard, edox",Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"How can one have never heard of Tissot, Hamilton and Maurice Lacroix?!",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Ball is important to Watches maybe the most important because they set the time that everyone goes by. I think it is called RST or railroad Standard Time because one watch stopped for a several seconds and a train hit another train. I hope I got that right. Well After Ball created the new watch they never had that problem again.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Good product, good service and good quality. Thank you  submariner.store",Not Mentioned,Not Mentioned,Good Value,Not Mentioned,Positive
"And the winner is ...Baume and Mercier, altho in 39mm. Okay, 38.5mm, but that's my final offer.
.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
finally someone mentiones the Tudor Style. Beautiful watch in 38mm,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Nice,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"What about Titoni? They've got almost a 100 years, but hardly known. Also. are they any good?",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Many watches for many tastes. However once you cross $700 on a new piece you re better off saving your $$ for a bit longer and get a Blackbay or a used Omega. All these mentioned here are beautiful but apart from the lower priced ones, you wont get a fraction in the used market. However the same cant be said for a Tudor Blackbay or Pelagos which hold their value better.",France,Not Mentioned,Fair,Not Mentioned,Negative
I found the tudor quite an interesting model it's around £1400 here in the UK.,UK,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
When I first became interested in watches back in the early 90s  I remember seeing full-page advertizements for Chronoswiss in all the popular magazines,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Why don’t you do a review on RADO DIASTAR ORIGINAL? Please!,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Good examples of ChronoSwiss....no Fortis? Come on Ted,Country Focus,Swiss,Not Mentioned,Not Mentioned,Negative
"Really nice covering other types of brands out there that isn't the basic Rolex, Cartier, etc. Thank you. It was very interesting to watch.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"I wish there was a video of how to pronounce all of the brands correctly lol I still get confused because some videos say it on way, other say it another way.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Had two upscale Chronoswiss pieces. Beautiful to look at but both broke down even after being serviced. Won’t buy a third time,China,Not Mentioned,Overpriced,Not Mentioned,Negative
I never seem to know what time it is.  I might need to buy a watch 🛎,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Ooo, Mondaine.  Not too shabby Teddy",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Can you do a video on Alpino watches as a brand or how good or bad they r thanks,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Top 10 Chinese watches?,China,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Amazing videos, i was wondering if you know the brand S Coifman, and is it any good?",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
You better get at least 50% off when buying any of these unsellable shitters,Country Focus,Negative,Not Mentioned,Overpriced,Negative
"Teddy, do all Mondaine watches do the sweep second and wait 2 seconds at the end of a minute of just this particular model you assessed?",Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Always been a fan of Ball timepieces and their heritage in watchmaking. So many cool and versatile slick models to choose from. Well built, solid and sharp looking. Thanks Teddy for the reviews and lists , I always enjoy the work you put in.",Swiss,Not Mentioned,Not Mentioned,Not Mentioned,Positive
That Tudor line is awful,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Tudor had an Advertisement with Lady Gaga how could i buy one?,Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Positive
"Great video! Mido is also an interesting brand from Swatch, a little bit pricier than its cousin Tissot. Very popular here in Mexico with prices between 600 to 1300 usd. I do own one, model AD1 inspired in the Roman Colisseum and love it!",Switzerland,Not Mentioned,Fair,Not Mentioned,Positive
"too much advertising Ted, its starting to get in the way. chrono swiss.... why don't I trust em? they come over as fashion watch sell outs. thnx for the vids tho.",Swiss,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Great video,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"""Get on the ball"", is a term coined by Ball watch. As in ""be on time!""",Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Good video but WAY too fast in your speech. Slow down!,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
ball watch co has to be one of my most favorite underrated watch brands. they look like true highend watches at a lower price point,China,Not Mentioned,Good Value,Not Mentioned,Positive
The ML Aikon is coming out in a 39 mm come May and is on my graduation hit-list.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
How about a german watch tuw Ruhla if you can look into that company and if they are any good. Thank you.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
I'm liking that Ball moon-phase.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Are you serious with the title. Do you seriously think that anyone into watches hasn’t heard of these brands. This video must be aimed at muppets.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Shitters. Next,Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Negative
8:05 Finding an AD for Baume & Mercier is really only difficult if you live in fucking Ohio or other loser states...,Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Great information!,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Been digging your videos and recently subscribed. Would love to see if you would do deep dive history videos on different brands, specific watches, etc.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"They all look great watches , can't decide which I really like now , you've spoilt us today lol , but I do love Skelton watches .",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
That Mondaine quartz movement is interesting,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Maurice Lacroix Aikon looks way more expensive than its original price. Great video, Teddy!!!",Not Mentioned,Not Mentioned,Overpriced,Not Mentioned,Positive
I am pleased that you gave some love to the Tudor Style. Also the Glamour is a well made line. There was a recently made video by a certain other US channel that stated Tudor don't make anything decent in this area (Datejust).. Which just proved their ignorance as they'd never obviously held one in their hands. For the record I have a DJ and bought a Glamour as a gift. The case and bracelet quality is identical. Only the movement differs.,US,Not Mentioned,Not Mentioned,Not Mentioned,Positive
"Hi sir can I have your thoughts on Rado watches? Notice some (not all, just some) of their ceramic watches are really a beauty. Is it just a fashion watch or a worthy timepiece? Thanks.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Great video,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Dang, really love that Tudor 1926.  Great video as always Teddy!",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Another great video there Teddy.  Mondaine do have a 40mm cased Automatic in their range (using a Selitta SW220 movement). The RRP is a bit high but you can probably find a more reasonable online price somewhere ;) Very clean and simple dial and hands so super legible (in light). I miss the Ruddy Bulbasaur advertisement.  You should stick it on at the end of your vids.,Switzerland,Not Mentioned,Fair,Not Mentioned,Positive
Paul picot watch,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
The Baume and Mercier is a nice piece,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
some brill watches there   cheers,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Teddy, off topic a little, can you do a review of new Timex American Documents line?  Waiting to see some reviews from channels like yours before possibly purchasing. I love that they are making it in USA!",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
How many of these watches have you in hand experience?,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Well done, Teddy. I think the online watch enthusiast community at times gets bogged down in specific models - you quite rightly mentioned the Tudor Black Bay - but, there really are some other great models out there if you dig a little deeper. Keep up the good work!",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
"""Give it a short- try it out... see if you like it"". And then if I do, then what ??? I don't have 1800$ to 2400!!",Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Negative
What about Glycine? They have a lot of nice looking watches...the Combat line and the Airman line.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
What about Atlantic?,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Avoid Swissmatic. They're just cheap Sistem 51 modified to fit a Tissot and sold for 300 and upwards, you can get an ETA in a Hamiltion or another Tissot for the same money",Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Negative
I think the Tudor 1926 looks really good and seems to be a good value.,Not Mentioned,Not Mentioned,Good Value,Not Mentioned,Positive
"I thought this would be a list of watches I know all about. But no, and thanks so much Teddy! There are sistem 51 movements in non-swatch watches!? There's a S2Go with a backlight!? Etc... Thanks. It's these little gems that keep me coming back to your vids. They are genuinely useful.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
"Would have never heard of ChronoSwiss before this video, their collection look amazing. Definitely going to check it out after this.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
"If going to review the ML, suggest go with the newer 39mm",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Teddy, another great video and I hate to beat a dead horse but, please, add lug-to-lug length for us.
I'm a bit surprised that someone who prefers a smaller watch that you don't drop in this measurement.
Especially if you're going to feature watches with four-digit price tags. Thanks again!",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
We really appreciate this video (our sales manager especially),Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
All those videos around made me hate Squarespace,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Do french made next mate ! lip has a quite interesting history for example. awesome video as always,France,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Anybody here own the style? I’ve been thinking about it,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Very interesting video! Thank you Teddy,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Tudor 1926 is ok but I think the Glamour double date white face blue hands with in-house movement is better,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Hamilton is my next watch 😍🤗 thank you.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Whoa I'm really diggin the mondaine,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"I think it would be if you did a video about ""Illinois"" brand wrist and pocket watches, with their connection to the rail road scene",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Great video I would consider addling Certina DS to the next.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Thx Teddy. Nice review as usual......,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Wasn't considering myself a watch nerd, but I know all of the watches listed in this video. lmao)",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
hey teddy are you planing on selling other things like leather belts?? to match the leather bands? i know i would buy matching ones .,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Some interesting time pieces here! Nice video, keep the good work my friend!",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Way too expensive Teddy. How many of your viewers are buying $2000 watches bro? Was still fun.$400 and under please. Thanks bro,China,Not Mentioned,Overpriced,Not Mentioned,Negative
Oh man that Ball.. good list ..,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Is Ball independent?,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Nice vid as always~!
Yoo brother, is it possible in the future to list Swiss Made watches under $500 excluding Swatch and Tissot? We would really like to see some of your suggestions for that~!",Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Positive
"I thought there was brands not models. Nice niche brands with high quality and low prices, but bad resale value. Such as Romania or edox",Not Mentioned,Not Mentioned,Fair,Not Mentioned,Neutral
Mondaine stop2go only quartz I want...love It!,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Tudor 1926 26mm& 36 mm very nice looking watches 🤓,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Hey Teddy. Do you give individual advice to first time watch buyers?  I’m looking for some purchasing help.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Do a video on Chinese Brands.,China,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"I like the Hamilton Power Reserve but 42mm just doesn't cut it for my wrist, especially given it's not a tool watch.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Been following your channel for 3 months now! love the works Teddy! Fan from the Philippines!,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Love the design of the 1926 :D,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
"☑️ Classy teddy intro now with strap store.
☑️ Learning about new watches/brands.
⬜  Reddy Bulbasaur blowing my mind with another world class strap commercial.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
That Tudor style is beautiful.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Great video.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
I have family heirloom (after dark) cuff-links that would pair perfectly with Tudor Style Ref:  M12513-0022.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Omg that Ball is gorgeous! I owned a Mondaine for a while. Looked great on a red, white and blue nato.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Sweet stylin and swiss but no swatch :(,Swiss,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Recently bought a Jazzmaster Open Heart at the 40mm size. Absolutely stunning. These are underrated! It sits nicely with my Max Bill. Considering getting the skeleton one.,China,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Have questions for buying a vintage tudors,Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Hi Teddy what do you think about fortis orchestra? i think it's your style. It might be my next purchase :),Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Is the Seiko 5 Urchin a good watch? I would really appreciate the help!,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Beautiful watches.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Those Tudors are pure class,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Great video Teddy!  I’ll definitely check these out.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Can’t wait to impress all the honeys with my Cleveland watch.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Chronoswiss! Glad to see them mentioned. They make a regulator that is on my long-term wish list. I actually clicked purchase from an online German seller only to get an email the next day saying that they had sold the watch in their retail store earlier the same day that I tried to buy online. So close!,Germany,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Love that Tudor 1926.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Great video!!!,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
So watching this video I am like okay Mondaine yeah yeah cool watch like yeah yeah but then the stop2go second hand.... COME ON WALLET MAKE MONEY!,Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Ooooh that inclusion of your strap store in the intro XD,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Love the gas-tube tech lume in the Ball line.,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Positive
"I love my Aikon. It's a lot of watch for the money def, a Royal Oak on a budget.",China,Not Mentioned,Good Value,Not Mentioned,Positive
What do you think about Wenger watches?,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
I really thought i was getting first.. Dang,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Thank you for showing Mondaine Teddy.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Sorry bruh. NFL draft. Gotta watch this later,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Whaat,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Love the vid!!,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
